Sygnatura czasowa,Jaka jest Twoja płeć,Jaki kierunek studiujesz?,Który rok studiujesz?,Wybierz stopień studiów,Wybierz tryb studiów,"Wybierz słowo, które najlepiej Ciebie opisuje (1 - Zamknięty/a w sobie, 2 - Powściągliwy/a, 3 - Śmiały/a, 4 - Wylewny/a)","Wybierz słowo, które najlepiej Ciebie opisuje (1 - Wrażliwy/a, 2 - Nieszkodliwy/a, 3 -Przebiegły/a, 4 - Dowcipny/a)","Wybierz słowo, które najlepiej Ciebie opisuje ( 1 - Uzdolniony/a artystycznie,  2 -Zrównoważony/a, 3 - Odważny/a, 4 -Rozmowny/a)","Wybierz słowo, które najlepiej Ciebie opisuje (1 - Biorący/a wszystko do siebie, 2 - Cierpliwy/a, 3 - Pochopny/a, 4 -Entuzjastyczny/a)        ","Jestem (1 - Wierny/a, 2 - Opanowany/a, 3 - Zdecydowany/a, 4 Kontaktowy/a)","Jestem (1 - Nostalgiczny, 2 - Dystansujący/a się, 3 - Niecierpliwy/a, 4 - Roztargniony/a)",stacjo_id,Czy preferujesz naukę stacjonarną?,W jakim stopniu czujesz się zmęczony/zmęczona po tygodniu nauki stacjonarnej? ,Ile minimum masz czasu na przerwę podczas nauki stacjonarnej (w minutach)?,Oceń atmosferę podczas zajęć stacjonarnych.,Oceń ergonomię swojego stanowiska pracy/nauki w trybie stacjonarnym.,Jak dużo czasu poświęcasz na samodoskonalenie się w kwestii umiejętności lub poszerzania horyzontów w trybie stacjonarnym?,"Jak często udaje Ci się zrealizować na czas zadania, które dostajesz na zajęciach praktycznych w trybie stacjonarnym?",Jak często udaje się zrealizować na czas projekty zespołowe w trybie stacjonarnym?,Jak często nie udaje Ci się zrealizować zadań do wykonania podczas nauki stacjonarnej?,Jak bardzo jesteś zmotywowany/zmotywowana do nauki w trybie stacjonarnym?,Czy czujesz się zmęczony/zmęczona po jednym dniu zajęć stacjonarnych? ,"Jaki wpływ ma miejsce, w którym się uczysz stacjonarnie na Twoją organizację nauki?",Jak oceniasz organizację nauki w trybie stacjonarnym?,Jak często pomagasz innym członkom zespołu podczas zajęć stacjonarnych?,Jak często inni członkowie zespołu udzielają pomocy Tobie podczas zajęć stacjonarnych?,Jak często występują konflikty w zespole podczas pracy zespołowej w trybie stacjonarnym?,Jak oceniasz przyrost Twojej wiedzy podczas zajęć w trybie stacjonarnym?,Jak oceniasz kontakt z prowadzącymi zajęcia w trybie stacjonarnym?,Jak bardzo jesteś skupiony/skupiona na zajęciach w trybie stacjonarnym?,Jak dobrze sobie radzisz na studiach w trybie stacjonarnym?,Czy wykonujesz dodatkowe aktywności związane z funkcjonowaniem uczelni w trybie stacjonarnym?,Czy odpowiadają Ci formy zaliczenia przedmiotów w trybie stacjonarnym?,zdal_id,Czy preferujesz naukę zdalną?,W jakim stopniu czujesz się zmęczony/zmęczona po tygodniu nauki zdalnej? ,Ile minimum masz czasu na przerwę podczas nauki zdalnej (w minutach)?,Oceń atmosferę podczas zajęć zdalnych.,Oceń ergonomię swojego stanowiska pracy/nauki w trybie zdalnym.,Jak dużo czasu poświęcasz na samodoskonalenie się w kwestii umiejętności lub poszerzania horyzontów w trybie zdalnym?,"Jak często udaje Ci się zrealizować na czas zadania, które dostajesz na zajęciach praktycznych w trybie zdalnym?",Jak często udaje się zrealizować na czas projekty zespołowe w trybie zdalnym?,Jak często nie udaje Ci się zrealizować zadań do wykonania podczas nauki zdalnej?,Jak bardzo jesteś zmotywowany/zmotywowana do nauki w trybie zdalnym?,Czy czujesz się zmęczony/zmęczona po jednym dniu zajęć zdalnych? ,"Jaki wpływ ma miejsce, w którym się uczysz zdalnie na Twoją organizację w nauki?",Jak oceniasz organizację nauki w trybie zdalnym?,Jak często pomagasz innym członkom zespołu podczas zajęć zdalnych?,Jak często inni członkowie zespołu udzielają pomocy Tobie podczas zajęć zdalnych?,Jak często występują konflikty w zespole podczas pracy zespołowej w trybie zdalnym?,Jak oceniasz przyrost Twojej wiedzy podczas zajęć w trybie zdalnym?,Jak oceniasz kontakt z prowadzącymi zajęcia w trybie zdalnym?,Jak bardzo jesteś skupiony/skupiona na zajęciach w trybie zdalnym?,Jak dobrze sobie radzisz na studiach w trybie zdalnym?,Czy wykonujesz dodatkowe aktywności związane z funkcjonowaniem uczelni w trybie zdalnym?,Czy odpowiadają Ci się formy zaliczenia przedmiotów w trybie zdalnym?,Z jakiego komunikatora korzystasz?,Czy korzystasz z kamery video podczas zajęć w pracy zdalnej?, Jak oceniasz jakość audio i video używanego komunikatora? ,Jak oceniasz jakość komunikatora używanego przez Twoją uczelnię? ,Czy masz problemy ze zrozumieniem kontekstu wypowiedzi podczas porozumiewania się przez komunikator? 
2020/11/26 7:05:28 PM CET,Mężczyzna,Mechatronika,5,Licencjat,Niestacjonarnie,2,2,3,2,2,2,1,Nie ma to dla mnie znaczenia,2,120,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,Tak,4,1,Nie,4,60,3,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,Tak,3,Zoom,Nie,3,3,4
2020/11/26 8:02:44 PM CET,Kobieta,Digital Media ,1,Licencjat,Stacjonarnie,2,2,4,4,1,2,2,Tak,3,15,4,4,4,5,4,4,4,4,3,3,4,4,3,4,4,4,4,Tak,3,2,Nie,2,15,3,1,2,5,4,4,1,4,1,1,4,4,3,1,2,1,3,Nie,3,Microsoft teams,Nie,3,4,3
2020/11/26 8:11:46 PM CET,Mężczyzna,marketing,1,Licencjat,Stacjonarnie,3,4,2,1,2,3,3,Tak,4,15,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,Tak,5,3,Nie,1,60,2,2,2,2,3,4,1,1,2,2,3,3,2,1,2,1,2,Tak,3,Zoom,Tak,3,3,2
2020/11/26 8:13:39 PM CET,Mężczyzna,Diagnostyka Sportowa,2,Licencjat,Stacjonarnie,3,4,3,4,3,4,4,Tak,4,15,5,4,3,4,4,2,4,5,3,4,5,4,3,4,5,5,4,Nie,4,4,Nie,2,30,2,3,3,3,2,3,3,2,4,4,2,3,3,2,2,2,3,Nie,3,Microsoft teams,Nie,3,3,3
2020/11/26 8:20:46 PM CET,Kobieta,Zarządzanie,1,Licencjat,Stacjonarnie,3,4,3,3,1,4,5,Nie,3,15,5,4,4,5,5,5,4,5,5,3,4,5,1,4,5,3,4,Nie,5,5,Tak,4,15,5,5,4,4,3,4,4,4,3,4,5,5,5,4,4,4,5,Nie,5,Microsoft teams,Nie,4,5,2
2020/11/26 8:21:23 PM CET,Kobieta,Diagnostyka Sportowa ,2,Licencjat,Stacjonarnie,2,1,1,2,1,2,6,Nie,1,15,3,3,2,3,5,2,2,1,3,2,4,3,3,1,2,1,1,Nie,3,6,Nie,1,15,3,3,2,5,5,4,1,1,2,3,4,2,3,1,3,1,1,Nie,3,Microsoft teams,Nie,3,3,2
2020/11/26 8:26:49 PM CET,Kobieta,Diagnostyka Sportowa,2,Licencjat,Stacjonarnie,3,1,3,2,4,1,7,Tak,3,15,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,Tak,5,7,Nie,1,0,2,2,1,2,2,2,1,1,2,1,5,5,3,1,2,1,3,Tak,3,Microsoft teams,Nie,3,3,2
2020/11/26 8:30:36 PM CET,Kobieta,Diagnostyka sportowa ,2,Licencjat,Stacjonarnie,3,1,1,2,4,1,8,Tak,3,30,4,5,4,3,4,5,4,3,5,4,3,5,5,5,5,5,4,Nie,4,8,Nie,5,15,3,2,1,3,4,5,1,1,2,3,4,5,5,2,3,1,3,Nie,1,Microsoft teams,Nie,2,2,4
2020/11/26 8:38:49 PM CET,Mężczyzna,Digital media ,1,Licencjat,Stacjonarnie,3,4,3,3,3,3,9,Tak,4,30,4,4,4,3,4,4,5,5,4,4,4,4,4,4,5,4,4,Nie,4,9,Nie,2,15,5,2,4,4,4,4,3,3,3,3,4,4,4,3,4,3,4,Nie,4,Microsoft teams,Tak,3,3,4
2020/11/26 8:40:49 PM CET,Mężczyzna,Logistyka,1,Licencjat,Stacjonarnie,2,4,3,4,1,2,10,Tak,3,15,4,4,5,5,5,5,3,3,3,3,4,4,5,3,4,4,3,Tak,3,10,Nie,2,30,2,2,4,5,5,5,2,2,2,3,4,4,5,3,2,1,3,Tak,5,Microsoft teams,Nie,3,2,3
2020/11/26 8:42:00 PM CET,Kobieta,Architektura ,2,Licencjat,Stacjonarnie,3,1,3,4,3,3,11,Tak,4,60,5,4,5,5,5,5,5,4,5,4,4,4,5,5,5,5,4,Nie,5,11,Nie,5,15,3,1,2,5,5,5,3,2,3,2,4,4,3,3,3,1,3,Nie,2,Zoom,Tak,2,4,2
2020/11/26 8:45:13 PM CET,Kobieta,Psychologia,1,Magister,Stacjonarnie,1,1,2,1,1,3,12,Tak,4,15,4,4,3,3,3,3,4,2,3,3,3,3,4,3,4,3,2,Tak,4,12,Nie,1,0,1,1,1,2,1,1,1,1,3,1,2,2,5,1,1,1,1,Nie,1,Microsoft teams,Tak,5,3,2
2020/11/26 9:03:59 PM CET,Kobieta,Administracja ,3,Licencjat,Stacjonarnie,3,4,4,3,4,4,13,Tak,3,15,4,4,4,5,5,4,5,3,4,5,3,3,4,5,5,5,5,Tak,4,13,Nie,4,15,3,2,2,1,1,1,1,3,1,2,4,2,2,1,4,2,2,Nie,3,Microsoft teams,Nie,5,5,5
2020/11/27 3:07:24 PM CET,Kobieta,Digital Media,1,Licencjat,Niestacjonarnie,3,2,3,3,3,3,14,Tak,3,15,3,4,4,5,5,1,5,2,4,4,3,3,4,5,4,5,4,Tak,3,14,Tak,5,0,2,1,3,4,4,2,1,5,3,3,3,3,4,1,1,1,3,Tak,3,Microsoft teams,Nie,4,4,4
2020/11/29 3:21:37 PM CET,Mężczyzna,Aktorstwo dramatyczne,1,Magister,Stacjonarnie,3,4,4,4,3,1,15,Tak,3,15,5,4,4,4,5,4,4,3,5,5,5,4,3,5,5,4,5,Tak,4,15,Nie,3,30,5,2,3,4,5,3,2,5,2,3,5,4,3,2,5,3,4,Tak,1,Microsoft teams,Tak,5,3,5
2020/11/29 7:13:13 PM CET,Mężczyzna,Fizyka Techniczna,2,Inżynier,Stacjonarnie,2,4,3,2,2,2,16,Tak,4,15,3,2,4,5,3,5,4,3,4,4,5,4,4,4,3,4,5,Tak,4,16,Nie,2,15,3,2,2,5,5,5,2,2,3,2,5,4,4,2,2,1,3,Tak,3,Inne,Tak,4,3,5
2020/12/01 10:30:36 AM CET,Kobieta,Kognitywistyka komunikacji ,2,Licencjat,Stacjonarnie,1,1,1,3,3,1,17,Tak,3,15,4,4,4,5,5,5,4,3,5,4,5,5,5,4,5,4,4,Nie,4,17,Nie,5,0,3,2,4,3,4,2,1,5,2,2,4,4,4,2,2,2,3,Nie,3,Microsoft teams,Nie,3,3,3
2020/12/01 10:30:53 AM CET,Mężczyzna,Kognitywistyka Komunikacji,2,Licencjat,Stacjonarnie,1,4,2,1,1,4,18,Tak,3,30,4,3,2,3,4,5,3,3,4,4,3,3,4,4,4,4,4,Nie,4,18,Nie,3,60,3,2,1,3,3,3,1,3,1,2,4,3,2,1,3,2,3,Nie,2,Microsoft teams,Nie,4,4,4
2020/12/01 10:31:49 AM CET,Kobieta,Kognitywistyka ,2,Licencjat,Stacjonarnie,2,4,4,4,4,2,19,Tak,3,15,5,4,3,5,5,5,5,3,5,5,5,5,5,5,5,4,4,Nie,4,19,Nie,3,15,2,2,2,5,5,5,1,3,1,2,5,5,5,1,4,1,1,Nie,3,Microsoft teams,Nie,3,3,4
2020/12/01 10:33:06 AM CET,Kobieta,Kognitywistyka komunikacji ,2,Licencjat,Stacjonarnie,2,1,2,2,1,4,20,Nie,2,15,4,2,1,4,4,4,3,2,3,3,3,4,4,4,3,2,4,Nie,3,20,Tak,4,30,4,5,4,5,5,5,4,4,4,5,5,5,5,5,4,3,5,Nie,5,Microsoft teams,Nie,3,3,4
2020/12/01 10:41:52 AM CET,Mężczyzna,Kognitywistyka/Informatyka,2,Licencjat,Stacjonarnie,4,4,4,4,4,1,21,Nie,1,30,5,3,4,4,3,1,3,2,5,4,4,1,1,3,4,3,5,Nie,4,21,Tak,5,60,5,5,3,5,5,5,5,5,5,3,3,1,5,3,4,4,5,Nie,5,Microsoft teams,Nie,4,4,5
2020/12/01 10:59:15 AM CET,Kobieta,Kognitywistyka,2,Licencjat,Stacjonarnie,2,1,4,4,4,3,22,Tak,2,15,3,3,3,5,5,5,3,2,4,2,5,4,3,3,4,4,5,Tak,3,22,Nie,1,0,2,2,4,5,3,4,1,2,2,1,4,4,1,1,2,1,5,Nie,3,Microsoft teams,Tak,4,3,2
